REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 16:20:00,4921.622878787879,31.260303030303028,AVERAGE,4921.622878787879,4921.622878787879
VIC1,2025-01-01 16:25:00,4989.084393939394,38.92939393939394,AVERAGE,4989.084393939394,4989.084393939394
VIC1,2025-01-01 16:30:00,5052.956666666667,42.630606060606056,AVERAGE,5052.956666666667,5052.956666666667
VIC1,2025-01-01 16:35:00,5102.372575757576,35.31621212121212,AVERAGE,5102.372575757576,5102.372575757576
VIC1,2025-01-01 16:40:00,5141.385,34.987878787878785,AVERAGE,5141.385,5141.385
VIC1,2025-01-01 16:45:00,5193.682575757575,38.15363636363636,AVERAGE,5193.682575757575,5193.682575757575
VIC1,2025-01-01 16:50:00,5252.347272727273,43.41621212121212,AVERAGE,5252.347272727273,5252.347272727273
VIC1,2025-01-01 16:55:00,5292.70803030303,42.498636363636365,AVERAGE,5292.70803030303,5292.70803030303
VIC1,2025-01-01 17:00:00,5349.591363636364,43.894393939393936,AVERAGE,5349.591363636364,4547.152659090909
VIC1,2025-01-01 17:05:00,5382.718181818183,40.77606060606061,AVERAGE,5382.718181818183,4575.310454545456
VIC1,2025-01-01 17:10:00,5341.922878787878,35.83969696969697,AVERAGE,5341.922878787878,4540.634446969696
VIC1,2025-01-01 17:15:00,5388.305606060606,39.46590909090909,AVERAGE,5388.305606060606,4580.0597651515145
VIC1,2025-01-01 17:20:00,5434.029545454546,47.41227272727273,AVERAGE,5434.029545454546,4618.925113636364
VIC1,2025-01-01 17:25:00,5492.853939393939,58.18969696969697,AVERAGE,5492.853939393939,4668.925848484848
VIC1,2025-01-01 17:30:00,5543.171969696969,63.37787878787879,AVERAGE,5543.171969696969,4711.696174242424
VIC1,2025-01-01 17:35:00,5575.792272727273,53.17060606060606,AVERAGE,5575.792272727273,4739.423431818182
VIC1,2025-01-01 17:40:00,5601.993939393939,53.46363636363636,AVERAGE,5601.993939393939,4761.694848484848
VIC1,2025-01-01 17:45:00,5655.28696969697,65.21757575757576,AVERAGE,5655.28696969697,4806.993924242424
VIC1,2025-01-01 17:50:00,5705.919545454545,68.29242424242425,AVERAGE,5705.919545454545,4850.0316136363635
VIC1,2025-01-01 17:55:00,5742.914090909091,74.1419696969697,AVERAGE,5742.914090909091,4881.476977272728
VIC1,2025-01-01 18:00:00,5765.082424242424,83.34863636363637,AVERAGE,5765.082424242424,4900.32006060606
VIC1,2025-01-01 18:05:00,5795.666666666667,78.88,AVERAGE,5795.666666666667,4926.316666666667
